Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
50 ; 10 ; 6 ; 1 ; 67 ; 240
50 ; 10 ; 5 ; 5 ; 59 ; 240
50 ; 10 ; 7 ; 5 ; 77 ; 240
50 ; 100 ; 61 ; 37 ; 628 ; 2400
50 ; 100 ; 61 ; 27 ; 635 ; 2400
50 ; 100 ; 67 ; 33 ; 672 ; 2400
50 ; 100 ; 68 ; 32 ; 657 ; 2400
50 ; 100 ; 66 ; 35 ; 653 ; 2400
50 ; 100 ; 61 ; 31 ; 669 ; 2400
50 ; 100 ; 79 ; 30 ; 690 ; 2400
50 ; 100 ; 64 ; 26 ; 633 ; 2400
50 ; 100 ; 59 ; 28 ; 642 ; 2400
50 ; 100 ; 70 ; 35 ; 648 ; 2400
50 ; 100 ; 75 ; 38 ; 670 ; 2400
50 ; 100 ; 61 ; 31 ; 676 ; 2400
50 ; 100 ; 78 ; 32 ; 727 ; 2400
50 ; 100 ; 67 ; 27 ; 651 ; 2400
50 ; 100 ; 68 ; 29 ; 666 ; 2400
50 ; 100 ; 67 ; 38 ; 649 ; 2400
50 ; 100 ; 66 ; 33 ; 721 ; 2400
50 ; 100 ; 70 ; 26 ; 653 ; 2400
50 ; 100 ; 65 ; 34 ; 655 ; 2400
50 ; 100 ; 68 ; 38 ; 644 ; 2400
50 ; 100 ; 66 ; 32 ; 649 ; 2400
50 ; 100 ; 69 ; 30 ; 665 ; 2400
50 ; 100 ; 68 ; 24 ; 666 ; 2400
50 ; 100 ; 67 ; 27 ; 658 ; 2400
50 ; 100 ; 60 ; 33 ; 634 ; 2400
50 ; 100 ; 74 ; 21 ; 688 ; 2400
50 ; 100 ; 73 ; 23 ; 661 ; 2400
50 ; 100 ; 59 ; 32 ; 604 ; 2400
50 ; 100 ; 68 ; 26 ; 646 ; 2400
50 ; 100 ; 75 ; 26 ; 687 ; 2400
50 ; 100 ; 59 ; 25 ; 668 ; 2400
50 ; 100 ; 69 ; 34 ; 665 ; 2400
50 ; 100 ; 62 ; 33 ; 642 ; 2400
50 ; 100 ; 58 ; 30 ; 624 ; 2400
50 ; 100 ; 68 ; 28 ; 667 ; 2400
50 ; 100 ; 65 ; 28 ; 670 ; 2400
50 ; 100 ; 68 ; 39 ; 635 ; 2400
50 ; 100 ; 65 ; 29 ; 631 ; 2400
50 ; 100 ; 67 ; 35 ; 638 ; 2400
50 ; 100 ; 67 ; 33 ; 708 ; 2400
50 ; 100 ; 67 ; 27 ; 703 ; 2400
50 ; 100 ; 74 ; 32 ; 680 ; 2400
50 ; 100 ; 61 ; 26 ; 649 ; 2400
50 ; 100 ; 68 ; 28 ; 677 ; 2400
50 ; 100 ; 58 ; 33 ; 622 ; 2400
50 ; 100 ; 68 ; 29 ; 657 ; 2400
50 ; 100 ; 66 ; 24 ; 666 ; 2400
50 ; 100 ; 67 ; 27 ; 665 ; 2400
50 ; 100 ; 63 ; 27 ; 677 ; 2400
50 ; 100 ; 72 ; 36 ; 695 ; 2400
50 ; 100 ; 64 ; 29 ; 635 ; 2400
50 ; 100 ; 68 ; 37 ; 651 ; 2400
50 ; 100 ; 66 ; 29 ; 612 ; 2400
50 ; 100 ; 76 ; 31 ; 676 ; 2400
50 ; 100 ; 64 ; 37 ; 660 ; 2400
